country,results.year,results.pages.page0.raceDateTitle,results.pages.page0.tables.tableTitle,results.pages.page0.tables.tableRows.poř.,results.pages.page0.tables.tableRows.jméno koně,results.pages.page0.tables.tableRows.váha,results.pages.page0.tables.tableRows.jezdec,results.pages.page0.tables.tableRows.výrok,results.pages.page0.tables.tableRows.čas,results.pages.page0.tables.tableRows.st.č.,results.pages.page0.tables.tableRows.trenér,results.pages.page0.tables.tableRows.evq,results.pages.page1.raceDateTitle,results.pages.page1.tables.tableTitle,results.pages.page1.tables.tableRows.poř.,results.pages.page1.tables.tableRows.jméno koně,results.pages.page1.tables.tableRows.váha,results.pages.page1.tables.tableRows.jezdec,results.pages.page1.tables.tableRows.výrok,results.pages.page1.tables.tableRows.čas,results.pages.page1.tables.tableRows.st.č.,results.pages.page1.tables.tableRows.trenér,results.pages.page1.tables.tableRows.evq
,,,,,,,,,,,,,,"586 Cena Kleopatry
Rovina IV.kat. - 1600 m, ,
14000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",8.,"ORNITIN, 4","60,0",Milan Foukal,,,8,,0
,,,,,,,,,,,,,,,1.,"SKELET, 3","58,5",Jan Demele,,,6,,0
,,,,,,,,,,,,,,,2.,"FLÁM, 3","61,0",V. Pekný,,,3,,0
,,,,,,,,,,,,,,,3.,"PINOCHIO, 3","58,5",P. Beneda,,,5,,0
,,,,,,,,,,,,,,,4.,"TORYSA, 3","56,0",J. Veverka,,,4,,0
,,,,,,,,,,,,,,,5.,"LUTEJA, 3","58,5",J. Šaradín,,,7,,0
,,,,,,,,,,,,,,,6.,"MAURESKA, 3","58,5",J. Černý,,,9,,0
,,,,,,,,,,,,,,,7.,"GABIKA, 3","58,0",Stanislav Seďa,,,10,,0
,,,,,,,,,,,,,,,8.,"NORGE, 3","58,0",Petr Florian,,,2,,0
,,,,,,,,,,,,,,,9.,"CONSTANCE, 3","57,5",Jan Havlíček,,,1,,0
,1989,Výsledky ze dne 29.10.1989 - Šamorín (Slovensko),"630 Cena Ya Zamana
Rovina III.kat. - 960 m, cena,
28000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",1.,"GALUPINKA, 3","53,5",Jozef Franko,,,2,,0,,,10.,"LETTY, 3","57,0",Pavel Tumma,,,8,,0
,,,,2.,"LESTER(HUN), 3","54,5",Jozef Bojko,,,8,,0,,,,,,,,,,,
,,,,3.,"ORNITIN, 3","55,0",I. Odstrčilová,,,4,,0,,,,,,,,,,,
,,,,4.,"RADUŇ, 3","56,0",J. Minárech,,,1,,0,,,,,,,,,,,
,,,,5.,"GRITAR, 4","57,0",žk. M. Branžovský,,,9,,0,,,,,,,,,,,
,,,,6.,"SENTENCE, 3","58,5",ž. J. Püšpöky,,,10,,0,,,,,,,,,,,
,,,,7.,"BOB, 3","55,0",J. Zdobina,,,6,,0,,,,,,,,,,,
,,,,8.,"JELKA, 4","56,0",Milan Foukal,,,3,,0,,,,,,,,,,,
,,,"631 Cena Genuji
Proutky - 2800 m, cena,
26000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",9.,"RADIAL, 5","57,5",Stanislav Seďa,,,5,,0,,,,,,,,,,,
,,,,1.,"MADRAS, 3","60,0",I. Odstrčilová,,,7,,0,,,,,,,,,,,
,,,,2.,"BLONDI, 3","60,0",František Jasinský,,,8,,0,,,,,,,,,,,
,,,,3.,"REMIGIUS, 3","61,0",Jiří Paulina,,,1,,0,,,,,,,,,,,
,,,,4.,"EBEN, 4","68,0",Josef Bartoš st.,,,10,,0,,,,,,,,,,,
,,,,5.,"SNĚŽNÁ, 3","60,0",Dušan Andrés,,,4,,0,,,,,,,,,,,
,,,,6.,"ČARNICA, 4","66,0",J. Minárech,,,11,,0,,,,,,,,,,,
,,,,7.,"VIGVAM, 6","70,0",,,,5,,0,,,,,,,,,,,
,,,,8.,"POKER, 5","67,5",,,,2,,0,,,,,,,,,,,
,,,,9.,"SERENITA, 3","60,0",Jozef Franko,,,14,,0,,,,,,,,,,,
,,,,10.,"GORO, 4","63,5",Pavel Reiter,,,12,,0,,,,,,,,,,,
,,,,11.,"VERSE, 4","66,0",,,,9,,0,,,,,,,,,,,
,,,"632 Cena Ya Zamana
Rovina III.kat. - 960 m, cena,
28000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",SN,"DORKA, 4","63,5",am. J. Takács,,,3,,0,,,,,,,,,,,
,,,,1.,"ROZALIJA, 4","55,5",P. Beneda,,,9,,0,,,,,,,,,,,
,,,,2.,"START, 5","59,0",V. Pekný,,,6,,0,,,,,,,,,,,
,,,,3.,"DEMPER, 4","56,5",,,,3,,0,,,,,,,,,,,
,,,,4.,"SOVEREIGN(AUT), 5","55,5",M. Kamocsai,,,1,,0,,,,,,,,,,,
,,,,5.,"SOLITA, 3","55,0",Ľudovít Šara,,,7,,0,,,,,,,,,,,
,,,,6.,"VERADONA, 4","54,0",František Jasinský,,,2,,0,,,,,,,,,,,
,,,,7.,"JIRKO, 3","57,0",Jozef Piruch,,,8,,0,,,,,,,,,,,
,,,,8.,"PASS, 3","57,0",Milan Foukal,,,5,,0,,,,,,,,,,,
,,,"633 Cena CKM SZM
Steeplechase - 3800 m, cena,
26000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",9.,"NACHODKA, 4","55,5",,,,4,,0,,,,,,,,,,,
,,,,1.,"METRONOM, 13","64,5",Pavel Peprna,,,4,,0,,,,,,,,,,,
,,,,2.,"CHAMÍR, 10","68,0",Josef Bartoš st.,,,9,,0,,,,,,,,,,,
,,,,3.,"ČIPKA, 5","69,5",J. Bartoněk,,,8,,0,,,,,,,,,,,
,,,,4.,"SOLOT, 4","65,0",Miroslav Fencl,,,7,,0,,,,,,,,,,,
,,,,5.,"BÁJ, 4","62,5",Jan Kroczek,,,12,,0,,,,,,,,,,,
,,,,6.,"DONBAS ., 11","69,5",,,,10,,0,,,,,,,,,,,
,,,,7.,"LAREDO, 4","60,0",František Jasinský,,,3,,0,,,,,,,,,,,
,,,,7.,"LEDAR, 7","64,5",am. P. Švejda,,,11,,0,,,,,,,,,,,
,,,,PN,"LOVIN, 5","68,0",R. Chmelař,,,5,,0,,,,,,,,,,,
,,,,ZN,"LOCIKA, 4","62,5",M. Páral,,,6,,0,,,,,,,,,,,
,,,"634 Cena Agadira
Rovina III.kat. - 1400 m, cena,
20000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",11.,"PAUZA, 4","62,5",Miloš Zach,,,13,,0,,,,,,,,,,,
,,,,1.,"SALMI, 2","57,0",Milan Foukal,,,9,,0,,,,,,,,,,,
,,,,2.,"MISANTROP, 2","55,5",B. Chmelařová,,,7,,0,,,,,,,,,,,
,,,,3.,"MENZA, 2","55,0",René Štěpánek,,,12,,0,,,,,,,,,,,
,,,,4.,"MILUŠKA, 2","57,0",Jozef Piruch,,,1,,0,,,,,,,,,,,
,,,,5.,"CHRISTIANNE, 2","55,0",J. Zdobina,,,4,,0,,,,,,,,,,,
,,,,6.,"CHLUMEC, 2","58,0",Rudolf Švejda,,,3,,0,,,,,,,,,,,
,,,,7.,"TASILKA, 2","54,5",Jozef Franko,,,11,,0,,,,,,,,,,,
,,,,8.,"LETARGIE, 2","57,0",ž. J. Püšpöky,,,8,,0,,,,,,,,,,,
,,,,9.,"JAMBORA, 2","55,5",M. Kamocsai,,,10,,0,,,,,,,,,,,
,,,,10.,"ČERVÁNEK, 2","56,0",Dušan Andrés,,,5,,0,,,,,,,,,,,
,,,,11.,"LARSEN, 2","55,5",I. Odstrčilová,,,2,,0,,,,,,,,,,,
,,,"635 Cena Čs.televízie
Steeplechase - 4130 m, cena,
50000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",12.,"BRUSEL, 2","55,5",J. Minárech,,,6,,0,,,,,,,,,,,
,,,,1.,"AKADEMIA, 4","64,0",V. Pekný,,,5,,0,,,,,,,,,,,
,,,,2.,"VIGONA, 5","69,0",František Vávra,,,23,,0,,,,,,,,,,,
,,,,3.,"LEST, 6","69,0",Dušan Andrés,,,16,,0,,,,,,,,,,,
,,,,4.,"DYSNY, 5","69,0",Miroslav Fencl,,,3,,0,,,,,,,,,,,
,,,,5.,"BELLIS, 7","69,0",Zdeněk Seménka,,,6,,0,,,,,,,,,,,
,,,,6.,"SLALOM, 8","64,0",M. Vlček,,,19,,0,,,,,,,,,,,
,,,,7.,"CORTÉZ, 10","69,0",Pavel Reiter,,,13,,0,,,,,,,,,,,
,,,,8.,"DISCO, 5","69,0",O. Režňák,,,9,,0,,,,,,,,,,,
,,,,9.,"HEROLD, 12","69,0",L. Majrich,,,12,,0,,,,,,,,,,,
,,,,10.,"HAGEN, 4","64,0",J. Zdobina,,,15,,0,,,,,,,,,,,
,,,,11.,"VEDEREMO, 6","69,0",,,,20,,0,,,,,,,,,,,
,,,,12.,"DOBRA WOLA(POL), 4","64,0",,,,21,,0,,,,,,,,,,,
,,,"636 Handicap Paica
Rovina - 1500 m, handicap,
14000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",13.,"SEJM, 4","64,0",Jiří Paulina,,,14,,0,,,,,,,,,,,
,,,,1.,"LUDVIKA, 3","55,5",M. Kamocsai,,,5,,0,,,,,,,,,,,
,,,,2.,"LIANE, 3","52,5",Jozef Franko,,,7,,0,,,,,,,,,,,
,,,,3.,"RORETKA, 3","58,5",Ľudovít Šara,,,6,,0,,,,,,,,,,,
,,,,4.,"JEANS, 3","61,0",Milan Foukal,,,3,,0,,,,,,,,,,,
,,,,5.,"DUMKA, 3","54,0",František Jasinský,,,2,,0,,,,,,,,,,,
,,,,6.,"FALK, 3","49,0",Jozef Bojko,,,1,,0,,,,,,,,,,,
,,,,7.,"CAR, 3","50,0",Marie Zobalová,,,8,,0,,,,,,,,,,,
,,,,8.,"HŘÍČKA, 3","51,0",V. Hamplová,,,9,,0,Výsledky ze dne 22.10.1989 - Topolčianky (Slovensko),"616 Cena Calex Zlaté Moravce
Rovina III.kat. - 1200 m, cena,
20000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",1.,"ANGRITA, 2","57,0",Jozef Franko,,,3,,0
,,,,,,,,,,,,,,,2.,"REALITA, 2","57,0",Milan Foukal,,,7,,0
,,,,,,,,,,,,,,,3.,"GABIKA, 2","54,5",J. Ďurišová,,,8,,0
,,,,,,,,,,,,,,,4.,"VIRD, 2","55,5",I. Odstrčilová,,,6,,0
,,,,,,,,,,,,,,,5.,"FORMA, 2","57,0",M. Kamocsai,,,5,,0
,,,,,,,,,,,,,,,6.,"RIXI, 2","54,5",Jozef Bojko,,,2,,0
,,,,,,,,,,,,,,,7.,"MENELAOS, 2","58,0",Jiří Kameníček,,,9,,0
,,,,,,,,,,,,,,,8.,"ZOJA, 2","57,0",ž. J. Püšpöky,,,1,,0
,,,,,,,,,,,,,,"617 Handicap Koh-i-noor
Rovina - 2400 m, handicap,
40000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",9.,"TIMUR, 2","55,5",J. Zdobina,,,4,,0
,,,,,,,,,,,,,,,1.,"BLANÍK, 5","62,0",J. Püšpöky,,,7,,0
,,,,,,,,,,,,,,,2.,"QUESTOR, 8","61,0",J. Minárech,,,4,,0
,,,,,,,,,,,,,,,3.,"ELIXÍR, 3","59,0",Milan Foukal,,,5,,0
,,,,,,,,,,,,,,,4.,"CALIFORNIA(HUN), 3","53,5",Jozef Bojko,,,6,,0
,,,,,,,,,,,,,,"618 Cena ŠPP Topolčianky
Steeplechase - 3600 m, cena, 4letí a starší
32000 Kčs (16000 - 7400 - 4800 - 2200 - 1600)
Zápisné: 0 + 0 Kčs",5.,"NICKY`S ROCK (IRE), 6","64,0",J. Zdobina,,,2,,0
,,,,,,,,,,,,,,,1.,"VERTIKÁL, 4","67,0",R. Chmelař,BOJ,,12,,0
,,,,,,,,,,,,,,,D,"DYSNY, 5","67,5",J. Bartoněk,3/4,,13,,0
,,,,,,,,,,,,,,,2.,"LEPORELLO (HUN), 5","66,5",Jiří Paulina,1/2,,14,,0
,,,,,,,,,,,,,,,3.,"PERŽAN, 6","66,5",Zdeněk Lášek,6,,2,,0
,,,,,,,,,,,,,,,4.,"ZORNIČKA, 5","66,5",Jozef Piruch,5,,4,,0
,,,,,,,,,,,,,,,D,"ČARO, 6","67,0",,daleko,,9,,0
,,,,,,,,,,,,,,,5.,"CHYTRÁ, 7","66,5",am. Marta Müller,daleko,,7,,0
,,,,,,,,,,,,,,,6.,"MARIHUANA, 5","66,5","Libor Hála, MVDr.",daleko,,1,,0
,,,,,,,,,,,,,,,SN,"SAMSON, 7","72,5",O. Procházka,,,5,,0
,,,,,,,,,,,,,,,PN,"CHÓR, 11","66,5",R. Held,,,11,,0
,,,,,,,,,,,,,,,Z,"BONITO, 4","63,0",František Jasinský,,,8,,0
,,,,,,,,,,,,,,"619 Cena Svita
Proutky - 2400 m, cena,
22000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",Z,"ZADON (SU), 11","66,5",Pavel Peprna,,,10,,0
,,,,,,,,,,,,,,,1.,"GRAHAM ., 4","67,0",Josef Váňa st.,,,7,,0
,,,,,,,,,,,,,,,2.,"SANTÉ, 4","60,5",M. Kamocsai,,,6,,0
,,,,,,,,,,,,,,,3.,"PAVAL, 9","60,0",Anna Koláčková,,,5,,0
,,,,,,,,,,,,,,"620 Cena Kasr el Nil
Rovina - 2400 m, cena,
14000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",4.,"ČAŠA, 5","61,0",Š. Sluka,,,2,,0
,,,,,,,,,,,,,,,1.,"SAMÍR, 5","60,5",Jozef Piruch,,,1,,0
,,,,,,,,,,,,,,,2.,"ULRIKA, 4","59,5",,,,6,,0
,,,,,,,,,,,,,,,3.,"DUNJA AJ ARAB, 4","61,5",ž. J. Püšpöky,,,4,,0
,,,,,,,,,,,,,,,4.,"ALI, 3","58,5",Milan Foukal,,,2,,0
,,,,,,,,,,,,,,,5.,"HERTA, 4","59,5",,,,3,,0
,,,,,,,,,,,,,,,6.,"UNKA, 4","59,0",,,,5,,0
,,,,,,,,,,,,,,"621 Handicap Marcelky
Rovina - 1700 m, handicap,
28000 Kčs ( - - - - )
Zápisné: 0 + 0 Kčs",7.,"HOSTESKA, 4","58,5",V. Borčin,,,7,,0
,,,,,,,,,,,,,,,DD,"DEMPER, 4","50,0",Jozef Bojko,,,1,,0
,,,,,,,,,,,,,,,1.,"ČIRKÁŠ, 3","56,0",Š. Sluka,,,7,,0
,,,,,,,,,,,,,,,2.,"SNĚŽNÁ, 3","51,0",Marie Zobalová,,,9,,0
,,,,,,,,,,,,,,,3.,"MARTA, 3","55,0",František Jasinský,,,3,,0
,,,,,,,,,,,,,,,4.,"KIŽI, 4","58,5",am. Marta Müller,,,4,,0
,,,,,,,,,,,,,,,6.,"ELINGA, 4","54,0",Ľudovít Šara,,,5,,0
,,,,,,,,,,,,,,,7.,"CHOČA, 4","50,0",V. Borčin,,,6,,0
,,,,,,,,,,,,,,,8.,"BLIFY, 4","65,0",ž. J. Püšpöky,,,2,,0
,,,,,,,,,,,,,,,9.,"HELON, 3","55,0",P. Beneda,,,8,,0
abroad,2024,Výsledky ze dne 22.04.2024 - Strasbourg (Francie),"2194 PRIX DES ASPERGES
Proutky - - 3800 m, handicap, 5letí a starší
27.000 EUR (12150 - 5940 - 3510 - 2430 - 1350 - 945 - 675)
Zápisné: 0 + 0 EUR",1.,"GINOTA(FR), 6 kl","66,5",Tom Servier,JISTĚ,,6,,,,,,,,,,,,,
,,,,2.,"POMM RUN(FR), 8 kl","62,0",Alexandre Chesneau,krk,,14,,,,,,,,,,,,,
,,,,3.,"BALADOR(FR), 5 val","68,0",Thomas Gillet,5,,7,,,,,,,,,,,,,
,,,,4.,"CONTESTABLE(FR), 5","70,5",Nicolas Gauffenic,3/4,,4,,,,,,,,,,,,,
,,,,5.,"FABULOUS PRETENDER(FR), 6","63,5",Robert Law-Eadie,1 1/2,,12,,,,,,,,,,,,,
,,,,6.,"ZILCOVER(FR), 5 val","63,5",ž. Hakim Tabet,2 1/2,,13,,,,,,,,,,,,,
,,,,7.,"MOLLY POWER(GER), 7 val","67,0",ž. Jan Faltejsek,15,,11,Faltejsková Alžběta,,,,,,,,,,,,
,,,"2195 GRAND CROSS STRASBOURG
Steeplechase crosscountry c1 - 5200 m, cena, 5letí a starší
52.000 EUR (23920 - 11960 - 6760 - 4680 - 2340 - 1560 - 780)
Zápisné: 0 + 0 EUR",9.,"ANDOINS(FR), 9 val","67,0",ž. Josef Bartoš,,,10,Váňa ml. Josef,,,,,,,,,,,,
,,,,1.,"IVRESSE D`ESTRUVAL(FR), 6 kl A 1/2","70,0",Baptiste Le Clerc,LEHCE,,4,,,,,,,,,,,,,
,,,,2.,"HALCO DE SARTI(FR), 7 val A 1/2","69,0",Quentin Defontaine,7,,6,,,,,,,,,,,,,
,,,,3.,"GAZEE DE BEDON(FR), 8 kl A 1/2","67,0",Edgar Labaisse,krk,,8,,,,,,,,,,,,,
,,,,4.,"BABY BUSINESS(FR), 6 kl","67,0",Alejandro Ruiz Gonzales,krk,,7,,,,,,,,,,,,,
,,,,5.,"JACK LUX(FR), 5 A 1/2","69,0",ž. Felix de Giles,krk,,5,,,,,,,,,,,,,
,,,,6.,"GAP PIERJI(FR), 8 val A 1/2","71,0",ž. Jan Kratochvíl,6,,2,Váňa ml. Josef,,,,,,,,,,,,
,,,,7.,"IMPAIR ET PASSE(FR), 6 val A 1/2","71,0",Stephane Paillard,15,,1,,,Výsledky ze dne 21.04.2024 - Dresden (Německo),"2176 Aus Liebe zum Rennsport
Rovina M - 2000 m, cena, 3letí
10.000 EUR (6000 - 2000 - 1250 - 750)
Zápisné: 0 + 0 EUR",1.,"NAROKAN(IRE), 3 hř","57,5",Sean Byrne,LEHCE,,1,,
,,,,,,,,,,,,,,,2.,"AGELESS LIPS(IRE), 3 val","57,0",ž. René Koplík,1 1/2,,2,,
,,,,,,,,,,,,,,,3.,"LOVELY LENA(IRE), 3 kl","55,0",Ulan Kozhomkulov,2,,6,,
,,,,,,,,,,,,,,,4.,"GINA`S LION(GER), 3","57,0",am. Esther Ruth Weissmeier,krk,,3,,
,,,,,,,,,,,,,,,5.,"MARGHERITA LUTI(GER), 3","55,0",Lili-Marie Engels,2,,7,,
,,,,,,,,,,,,,,"2177 Freiberger Radler Cup
Rovina E - 2200 m, handicap, 4letí a starší
6.000 EUR (3000 - 1200 - 900 - 600 - 300)
Zápisné: 0 + 0 EUR",6.,"JASMINE FOR JOY(GER), 3 kl","57,0",ž. Alexander Pietsch,6,,4,Manová Jana,
,,,,,,,,,,,,,,,1.,"GEM(GER), 4 kl","52,5",Erthan Yavuz,JISTĚ,,9,,
,,,,,,,,,,,,,,,2.,"PARADISE GIRL(GER), 5 kl","56,0",ž. Martin Laube,1 1/2,,5,,
,,,,,,,,,,,,,,,3.,"VARICON(GER), 10 val","58,5",ž. Alexander Pietsch,2,,3,,
,,,,,,,,,,,,,,,4.,"BLUE LEGEND(GER), 4 hř","64,5",ž. Patrick Gibson,7,,1,,
,,,,,,,,,,,,,,,5.,"HELLO ELLA(FR), 5 kl","55,5",Concetto Santangelo,1/2,,6,,
,,,,,,,,,,,,,,"2178 Spielbank Dresden Cup 2024
Rovina M - 1500 m, cena, 4letí a starší
6.000 EUR (3600 - 1200 - 750 - 450)
Zápisné: 0 + 0 EUR",7.,"VARIMINGO(GER), 7 val","57,5",ž. René Koplík,,,4,Hlavatý Pavel,
,,,,,,,,,,,,,,,1.,"SENADOR(GER), 4 val","58,0",ž. René Koplík,LEHCE,,2,,
,,,,,,,,,,,,,,,2.,"NO MERCY(GER), 4","57,5",ž. Martin Laube,5,,3,,
,,,,,,,,,,,,,,,3.,"KALEOMIYA(FR), 4 kl","55,5",ž. Alexander Pietsch,4 1/2,,8,Manová Jana,
,,,,,,,,,,,,,,,4.,"KEEP BIDDING(IRE), 4 kl","55,0",Lili-Marie Engels,kr.hlava,,9,Prošek Arendsen Natalie,
,,,,,,,,,,,,,,,5.,"BARETTA(GER), 5","54,0",Schuichi Terachi,7,,6,,
,,,,,,,,,,,,,,"2179 Joachim-Ay-Erinnerungsrennen
Rovina D - 1400 m, handicap, 4letí a starší
8.000 EUR (4000 - 1600 - 1200 - 800 - 400)
Zápisné: 0 + 0 EUR",7.,"SVENYA(GER), 4 kl","53,0",am. Tereza Jedličková,,,11,Prošek Arendsen Natalie,
,,,,,,,,,,,,,,,1.,"DANERA(GER), 5 kl","56,5",ž. Martin Laube,LEHCE,,7,,
,,,,,,,,,,,,,,,2.,"BIG SECRET(GER), 4 hř","57,5",Lili-Marie Engels,4,,4,,
,,,,,,,,,,,,,,,3.,"NIGHT STAR(GER), 5 val","54,0",Erthan Yavuz,6,,8,,
,,,,,,,,,,,,,,,4.,"TAMINO(GER), 4 hř","51,5",Schuichi Terachi,hlava,,9,,
,,,,,,,,,,,,,,,5.,"EMILIO(GER), 4 val","57,5",ž. Alexander Pietsch,4,,5,,
,,,,,,,,,,,,,,"2180 Preis der Freiberger Brauerei
Rovina C - 2000 m, handicap, 4letí a starší
13.000 EUR (6500 - 2600 - 1950 - 1300 - 650)
Zápisné: 0 + 0 EUR",9.,"FORTUNE GOLD(IRE), 4 hř","58,5",ž. Ján Havlík,,,3,Brož Jiří,
,,,,,,,,,,,,,,,1.,"ROSE OF LIPS(GER), 4 kl","56,5",Lili-Marie Engels,JISTĚ,,8,,
,,,,,,,,,,,,,,,2.,"VANCOUVER(GER), 4","55,0",ž. René Koplík,3/4,,11,,
,,,,,,,,,,,,,,,3.,"LORD OF THE ALPS(IRE), 7 val","59,0",am. Esther Ruth Weissmeier,3/4,,3,,
,,,,,,,,,,,,,,,4.,"ATZE(GER), 6 val","54,0",am. Konstantin Phillip,2 1/4,,2,,
,,,,,,,,,,,,,,,5.,"DONNER EARL(GER), 5","57,5",Erthan Yavuz,7,,6,,
,,,,,,,,,,,,,,,6.,"NAPAJEV, 5 val","57,0",ž. Patrick Gibson,1 1/4,,10,Voršilková Helena,
,,,,,,,,,,,,,,,8.,"AMERICAN FLY(GER), 6 val","57,0",ž. Alexander Pietsch,,,9,Manová Jana,
,,,,,,,,,,,,,,"2181 Radeberger Kräuter Cup
Rovina E - 1900 m, handicap, 4letí a starší
6.000 EUR (3000 - 1200 - 900 - 600 - 300)
Zápisné: 0 + 0 EUR",ZN,"WILLEMINE, 4 kl","57,5",Martin Laube,,,7,Urbánek Luboš,
,,,,,,,,,,,,,,,1.,"AGATHE CHRISTY(GER), 5 kl","55,5",ž. Alexander Pietsch,JISTĚ,,6,,
,,,,,,,,,,,,,,,2.,"MARALENA(GER), 5 kl","59,0",Sean Byrne,1/2,,2,,
,,,,,,,,,,,,,,,3.,"LUITPOLD(GER), 4","54,5",Concetto Santangelo,hlava,,7,,
,,,,,,,,,,,,,,,4.,"PÄDCHEN(GER), 5 kl","64,0",ž. Patrick Gibson,2 1/2,,1,,
,,,,,,,,,,,,,,,5.,"VILANA(GER), 4 kl","57,5",am. Janina Boysen,1/2,,4,,
,,,,,,,,,,,,,,"2182 Auf Wiedersehen zum BBAG Auktionsrennen am 15. Juni
Rovina E - 1400 m, cena, 4letí a starší
6.000 EUR (3400 - 1200 - 750 - 450)
Zápisné: 0 + 0 EUR",6.,"BLUE QUEEN(GER), 6 kl","51,0",Schuichi Terachi,4 3/4,,9,Manová Jana,
,,,,,,,,,,,,,,,1.,"TARKHAN(GER), 5 val","59,0",Ulan Kozhomkulov,LEHCE,,4,,
,,,,,,,,,,,,,,,2.,"HEIDI HIGH(IRE), 5 kl","54,0",am. Tereza Jedličková,3 1/4,,6,Rája Jan,
,,,,,,,,,,,,,,,3.,"DEVIL IN PINK(IRE), 4 val","61,0",ž. Martin Laube,1 1/4,,1,Urbánek Luboš,
,,,,,,,,,,,,,,,4.,"SEE PARIS(GER), 4","56,0",am. Konstantin Phillip,1 1/4,,3,,
,,,,,,,,,,,,,,,5.,"SALDENLADY(GER), 5 kl","56,0",ž. Alexander Pietsch,4 3/4,,8,,
,2023,Výsledky ze dne 30.12.2023 - Dortmund (Německo),"2822 Preis der Hindernis-Champions Trainer/Besitzer 2023
Rovina F - 2500 m, handicap, 3letí a starší
5.000 EUR (2500 - 1000 - 750 - 500 - 250)
Zápisné: 0 + 0 EUR",1.,"SCHAEL(FR), 4","57,0",Schuichi Terachi,V. LEHCE,,3,,,,,6.,"MADE OF LIR(GB), 4 kl","58,0",Bruce Gibson,1/2,,5,Rája Jan,
,,,,2.,"NORTH FIRE(GER), 4","57,5",Thore Hammer-Hansen,10,,6,,,,,,,,,,,,,
,,,,3.,"SUNNY STAR(FR), 5 kl","61,0",Maike Riehl,4,,1,,,,,,,,,,,,,
,,,,4.,"ALL TALK N NO DO(IRE), 12","58,5",Lili-Marie Engels,6,,5,,,,,,,,,,,,,
,,,,5.,"STRAHLEMANN(GER), 4","54,0",Michael Cadeddu,6,,7,,,,,,,,,,,,,
,,,"2823 Preis der 4er - Wette - Preis des Jockey-Champions 2023
Rovina F - 1800 m, handicap, 3letí a starší
5.150 EUR (2500 - 1000 - 750 - 500 - 250 - 150)
Zápisné: 0 + 0 EUR",6.,"LADY RECORDER(FR), 3 kl","59,5",ž. Leon Wolff,daleko,,4,Nieslanik Miroslav,,,,,,,,,,,,
,,,,1.,"EL ROYALE(GB), 4","61,0",Maike Riehl,LEHCE,,6,,,,,,,,,,,,,
,,,,2.,"SOMMERBERGER(GER), 3","58,0",Thore Hammer-Hansen,6,,9,,,,,,,,,,,,,
,,,,3.,"BLACK DARK(IRE), 3 val","65,0",ž. Leon Wolff,1 3/4,,3,Nieslanik Miroslav,,,,,,,,,,,,
,,,,4.,"MANHATTAN QUEEN(GER), 4","53,0",ž. Anna Van den Troost,4,,13,,,,,,,,,,,,,
,,,,5.,"ITORA(GER), 3","57,5",am. Antonia von der Recke,1 3/4,,7,,,,,,,,,,,,,
,,,"2824 Preis der Besitzertrainer und -trainerinnen 2023
Rovina D - 1950 m, handicap, 3letí a starší
6.500 EUR (3150 - 1260 - 945 - 630 - 315 - 200)
Zápisné: 0 + 0 EUR",6.,"ALL MY LOVING(GER), 3","52,5",Elisabeth Stahlhut,krk,,10,,,,,,,,,,,,,
,,,,1.,"DIRECT HIT(IRE), 3","54,0",Michael Cadeddu,BOJ,,5,,,,,,,,,,,,,
,,,,2.,"ARADOUS(IRE), 5 val","61,5",Senan Macredmond,krk,,1,,,,,,,,,,,,,
,,,,3.,"MISTER HOLLOW(GER), 3 hř","60,0",ž. Leon Wolff,3/4,,3,,,,,,,,,,,,,
,,,,4.,"SADALBARI(IRE), 3 val","55,0",ž. Sibylle Vogt,6,,4,Nieslanik Miroslav,,,,,,,,,,,,
,,,,5.,"SERIENMOND(GER), 3","60,5",Schuichi Terachi,3/4,,2,,,,,,,,,,,,,
,,,,6.,"DORTMUNDER(GER), 3","53,0",Thore Hammer-Hansen,daleko,,6,,,Výsledky ze dne 27.12.2023 - Cagnes-sur-mer (Francie),"2818 PRIX DE LA BOURGOGNE
Proutky - - 4000 m, handicap, 4letí a starší
62.000 EUR (27900 - 13640 - 8060 - 5580 - 3100 - 2170 - 1550)
Zápisné: 0 + 0 EUR",1.,"NORMANDE(FR), 6 kl","69,0",Nicolas Gauffenic,LEHCE,,12,,
,,,,,,,,,,,,,,,2.,"FOX CHALLENGER(FR), 5 val","71,5",Dylan Ubeda,4 1/2,,2,,
,,,,,,,,,,,,,,,3.,"VOLKOV JELOIS(FR), 7 val","70,0",Oleksandr Ryzhak,3,,9,Váňa ml. Josef,
,,,,,,,,,,,,,,,4.,"BEST BOWL(FR), 7 val","69,0",Julien Coyer,krk,,13,,
